pub_date,relevance,sentiments,scores,Doc_Volume,high,low,open,close,volume
2021-09-09,0.6477539631715413,0.7828844115138054,0.1853099785481215,4,156.1100,153.9500,155.4900,154.0700,57305730
2021-09-10,0.19044935928629755,0.5407145826352967,-0.07085706597332757,12,155.4800,148.7000,155.0000,148.9700,140893235
2021-09-13,0.10509754001511538,0.1596348524093628,0.025651705868468405,12,151.4200,148.7500,150.6300,149.5500,102404329
2021-09-14,0.19172405555330094,0.4037907718192963,-0.02080793852639259,14,151.0700,146.9100,150.3500,148.1200,109296295
2021-09-15,0.3311918821423355,0.6049805626724706,0.17813415994861392,11,149.4400,146.3700,148.5600,149.0300,83281315
2021-09-16,0.10366908785437713,0.4284738940852029,-0.06366671364386683,7,148.9700,147.2210,148.4400,148.7900,68034149
2021-09-17,0.24090206778553047,0.8373257971945263,0.2183002778995609,7,148.8200,145.7600,148.8200,146.0600,129868824
2021-09-20,0.17396590329063572,0.27804490072386606,-0.13479989396822772,7,144.8400,141.2700,143.8000,142.9400,123478863
2021-09-21,0.6777168602120176,0.7592995409612302,0.11185863581365856,9,144.6000,142.7800,143.9300,143.4300,75833962
2021-09-22,0.08352373189154177,0.548636335465643,0.08013783345716526,6,146.4300,143.7001,144.4500,145.8500,76404341
2021-09-23,0.10001587985177508,-0.16642645498116812,-0.09440279925929136,6,147.0800,145.6400,146.6500,146.8300,64838170
2021-09-24,0.37566074954855866,0.9999637603759766,0.37565003149432763,4,147.4701,145.5600,145.6600,146.9200,53477869
2021-09-27,0.18719497006433633,0.4005320131778717,0.07112836201439263,5,145.9600,143.8200,145.4700,145.3700,74150729
2021-09-28,0.01753159163512374,0.7736571530501047,0.015899367727040457,3,144.7500,141.6900,143.2500,141.9100,108972340
2021-09-29,0.7264417636764021,0.28470231344302493,0.2804173097031186,6,144.4500,142.0300,142.4700,142.8300,74602044
2021-09-30,0.05019515061063908,-0.27813201149304706,-0.04550968455625378,3,144.3780,141.2800,143.6600,141.5000,89056664
2021-10-01,0.16250832248320551,0.9514489769935608,0.10216347924988159,7,142.9200,139.1101,141.9000,142.6500,94639581
2021-10-04,0.11466789320777855,0.9855812946955365,0.11455033501289755,5,142.2100,138.2700,141.7600,139.1400,98322008
2021-10-05,0.07672519731040274,0.49999387349401203,-0.05803953157031727,7,142.2400,139.3600,139.4900,141.1100,80861062
2021-10-06,0.18843916970425087,0.33793492118517565,-0.09751056662304562,8,142.1500,138.3700,139.4700,142.0000,83221119
2021-10-07,0.3941669946084922,0.8310046543677648,0.37046833114519767,6,144.2150,142.7200,143.0600,143.2900,61732656
2021-10-08,0.006121071455320306,0.8330629641811054,0.005172801132031538,4,144.1781,142.5600,144.0300,142.9000,58773155
2021-10-11,0.5478581639517539,0.9999550382296244,0.5478328355143224,3,144.8100,141.8100,142.2700,142.8100,64452219
2021-10-12,0.05681144281413017,0.7499745935201645,0.02306648076744994,4,143.2500,141.0401,143.2300,141.5100,73035859
2021-10-13,0.07822226188097238,0.09535390138626099,0.01620663209313566,7,141.4000,139.2000,141.2350,140.9100,78762721
2021-10-14,0.43672743502590944,0.9961819383833143,0.4358942442744493,3,143.8800,141.5100,142.1100,143.7600,69907100
2021-10-15,0.06085509714985408,0.9508171379566193,0.04981071219850572,2,144.8950,143.5100,143.7700,144.8400,67940334
2021-10-18,0.4486115213476197,0.20100420713424683,-0.28096615388469237,5,146.8400,143.1600,143.4450,146.5500,85589175
2021-10-19,0.651414879300091,0.0008305609226226807,0.6439339995330091,2,149.1700,146.5500,147.0100,148.7600,76378894
2021-10-20,0.18325029129738848,0.9999436537424723,0.1832390799326387,3,149.7539,148.1200,148.7000,149.2600,58418788
2021-10-21,0.2067506173318276,0.00040525197982788086,-0.00969207166312773,2,149.6400,147.8700,148.8100,149.4800,61420990
2021-10-22,0.0724052145234572,0.6110512233442731,0.008325869613421839,6,150.1800,148.6400,149.6900,148.6900,58883443
2021-10-25,0.233366493059923,0.3345789667751108,0.05295017734550902,28,149.3700,147.6211,148.6800,148.6400,50720556
2021-10-26,0.1770025891108848,0.6702513247728348,0.02323370905959295,23,150.8400,149.0101,149.3300,149.3200,60893395
2021-10-27,0.13029451143594484,0.5757451381396365,0.08236746916172925,36,149.7300,148.4900,149.3600,148.8500,56094929
2021-10-28,0.246234785986954,0.4548686759339438,0.16544016020317537,30,153.1650,149.7200,149.8200,152.5700,100077888
2021-10-29,0.19147392400146832,0.320503013752125,0.11404703722130817,45,149.9400,146.4128,147.2150,149.8000,124953168
2021-11-01,0.138683973567281,0.37850027680397036,0.12598722381201385,30,149.7000,147.8000,148.9850,148.9600,73396551
2021-11-02,0.379391526708564,0.4712982620133294,0.10603768841407128,15,151.5700,148.6500,148.6600,150.0200,68922374
2021-11-03,0.19898649026840662,0.2573303643501166,-0.13217418253826008,11,151.9700,149.8200,150.3900,151.4900,54511534
2021-11-04,0.21284319353748232,0.690454236760972,0.14643812572015147,21,152.4300,150.6400,151.5800,150.9600,60394616
2021-11-05,0.20782053268642856,0.7607691114147505,0.20623413355448628,12,152.2000,150.0600,151.8900,151.2800,65463883
2021-11-08,0.17550626754691934,0.6729473318809119,-8.367606377789363e-05,13,151.5700,150.1600,151.4100,150.4400,55020868
2021-11-09,0.22417962995107166,0.742159213693369,0.19656947231229158,14,151.4280,150.0601,150.2000,150.8100,56573449
2021-11-10,0.3034232579802574,0.40666997035344443,0.2756040411812483,15,150.1300,147.8500,150.0200,147.9200,65187092
2021-11-11,0.30040837559453737,0.4788584342267778,-0.10964494932549346,15,149.4300,147.6810,148.9600,147.8700,40999950
2021-11-12,0.3965684415391933,0.48685799876848856,0.35180473902719334,15,150.4000,147.4800,148.4300,149.9900,63245197
