pub_date,url,scores,sentiments,relevance,rel_subdocs,sub_1_rel,sub_2_rel,sub_1_sents,sub_2_sents,sub_3_rel,sub_4_rel,sub_5_rel,sub_6_rel,sub_7_rel,sub_8_rel,sub_9_rel,sub_10_rel,sub_11_rel,sub_12_rel,sub_13_rel,sub_14_rel,sub_3_sents,sub_4_sents,sub_5_sents,sub_6_sents,sub_7_sents,sub_8_sents,sub_9_sents,sub_10_sents,sub_11_sents,sub_12_sents,sub_13_sents,sub_14_sents
2021-05-04,https://www.benzinga.com/pre-market-outlook/21/05/20935185/12-industrials-stocks-moving-in-tuesdays-pre-market-session,-0.04114384703987889,-0.9990767240524292,0.041181869269251194,1,0.041181869269251194,,0.041181869269251194,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-04,https://www.fool.com/investing/2021/05/04/forget-plug-power-bloom-energy-is-a-better-fuel-ce/?source=iedfolrf0000001,-0.11307346138303553,-0.9886332949002584,0.11515268766814674,3,0.251409645185896,0.04792806957590829,0.251409645185896,0.04792806957590829,0.04612034824263594,,,,,,,,,,,,0.04612034824263594,,,,,,,,,,,
2021-05-04,https://www.fool.com/investing/2021/05/04/why-plug-power-ballard-power-systems-and-bloom-ene/?source=iedfolrf0000001,-0.041000621711742714,-0.9966484506924947,0.04114924713123229,3,0.042047992001508716,0.03646600787107024,0.042047992001508716,0.03646600787107024,0.04493374152111791,,,,,,,,,,,,0.04493374152111791,,,,,,,,,,,
2021-05-05,http://www.zacks.com/stock/news/1504923/has-plug-power-plug-outpaced-other-industrial-products-stocks-this-year?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_1-1504923,3.1670610972136504,0.657130241394043,4.8195333249235555,1,4.8195333249235555,,4.8195333249235555,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-05,http://www.zacks.com/stock/news/1505067/why-the-earnings-surprise-streak-could-continue-for-plug-power-plug?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_7-1505067,0.5593404402311337,0.07176408171653748,0.594044917663429,2,1.1542101917982843,0.03387964352857378,1.1542101917982843,0.03387964352857378,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-05,http://www.zacks.com/stock/news/1504591/plug-power-plug-to-post-q1-earnings-whats-in-the-offing?cid=CS-ZC-FT-analyst_blog|earnings_preview-1504591,-0.014066828674574235,-0.3325611352920532,0.044010148906179436,3,0.044866180723444796,0.04480826882177255,0.044866180723444796,0.04480826882177255,0.042355997173320975,,,,,,,,,,,,0.042355997173320975,,,,,,,,,,,
2021-05-06,https://www.fool.com/investing/2021/05/06/why-plug-powers-stock-sank-more-than-20-in-april/?source=iedfolrf0000001,-0.13602758589261718,-0.9986136555671692,0.136181942896066,2,0.04172795861519144,0.23063592717694056,0.04172795861519144,0.23063592717694056,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-06,https://www.benzinga.com/intraday-update/21/05/20994397/12-industrials-stocks-moving-in-thursdays-intraday-session,-0.04298049436130782,-0.9994798302650452,0.04300286314923445,1,0.04300286314923445,,0.04300286314923445,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-06,https://www.fool.com/investing/2021/05/06/why-bloom-energy-caused-fuel-cell-stocks-to-drop-t/?source=iedfolrf0000001,-0.12655742609915116,-0.9910173416137695,0.12844161014427202,2,0.04196247860127061,0.21492074168727343,0.04196247860127061,0.21492074168727343,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07,https://www.fool.com/investing/2021/05/07/time-sensitive-why-plug-power-bloom-energy-and-enp/?source=iedfolrf0000001,-0.044566063369544606,-0.994698166847229,0.04480360460580732,1,0.04480360460580732,,0.04480360460580732,,,,,,,,,,,,,,,,,,,,,,,,,
