index,index,index.1,pub_date,url,scores,sentiments,relevance,rel_subdocs,sub_1_rel,sub_2_rel,sub_3_rel,sub_4_rel,sub_5_rel,sub_6_rel,sub_7_rel,sub_8_rel,sub_9_rel,sub_10_rel,sub_11_rel,sub_12_rel,sub_13_rel,sub_14_rel,sub_15_rel,sub_16_rel,sub_17_rel,sub_18_rel,sub_19_rel,sub_20_rel,sub_21_rel,sub_22_rel,sub_23_rel,sub_24_rel,sub_25_rel,sub_1_sents,sub_2_sents,sub_3_sents,sub_4_sents,sub_5_sents,sub_6_sents,sub_7_sents,sub_8_sents,sub_9_sents,sub_10_sents,sub_11_sents,sub_12_sents,sub_13_sents,sub_14_sents,sub_15_sents,sub_16_sents,sub_17_sents,sub_18_sents,sub_19_sents,sub_20_sents,sub_21_sents,sub_22_sents,sub_23_sents,sub_24_sents,sub_25_sents
617,,,2021-09-20,https://www.fool.com/investing/2021/09/21/3-supercharged-stocks-to-buy-with-1000-right-now/,0.02516987460913165,0.5075596570968628,0.05682250701458926,4,0.04987103602018314,0.05727606348049994,0.06464518001744611,0.055497748540227855,,,,,,,,,,,,,,,,,,,,,,0.04987103602018314,0.05727606348049994,0.06464518001744611,0.055497748540227855,,,,,,,,,,,,,,,,,,,,,
604,,,2021-09-21,https://www.benzinga.com/general/education/21/09/23034675/is-microsofts-stock-overvalued-or-undervalued,-0.20051435511147264,-0.9898622930049896,0.20345812024327586,2,0.06518779281086903,0.34172844767568267,,,,,,,,,,,,,,,,,,,,,,,,0.06518779281086903,0.34172844767568267,,,,,,,,,,,,,,,,,,,,,,,
613,,,2021-09-21,http://feeds.benzinga.com/~r/benzinga/markets/options/~3/_9kgqcmydRE/microsofts-big-money-trades-spotted,-0.770085765969328,-0.997221827507019,0.7727865613297108,2,1.4874097643877227,0.058163358271699016,,,,,,,,,,,,,,,,,,,,,,,,1.4874097643877227,0.058163358271699016,,,,,,,,,,,,,,,,,,,,,,,
600,,,2021-09-22,https://www.benzinga.com/news/21/09/23057439/microsofts-latest-offerings-ahead-of-upcoming-holiday-season,-0.06489262129522308,-0.9977565407752991,0.06503853259112566,1,0.06503853259112566,,,,,,,,,,,,,,,,,,,,,,,,,0.06503853259112566,,,,,,,,,,,,,,,,,,,,,,,,
614,,,2021-09-22,http://feeds.benzinga.com/~r/benzinga/news/guidance/~3/WVZnNzyJ0L8/after-todays-fed-meeting-investors-are-stuck-with-contradictory-reports-on-evergrande-and-the-debt-,-0.044408024328820656,-0.9940642714500427,0.044673192271604954,1,0.044673192271604954,,,,,,,,,,,,,,,,,,,,,,,,,0.044673192271604954,,,,,,,,,,,,,,,,,,,,,,,,
618,,,2021-09-22,https://www.fool.com/investing/2021/09/23/microsoft-remains-a-top-notch-dividend-stock/,0.7901510726079993,0.9880698025226593,0.7996433304670572,2,0.7419264307820106,0.8573602301521037,,,,,,,,,,,,,,,,,,,,,,,,0.7419264307820106,0.8573602301521037,,,,,,,,,,,,,,,,,,,,,,,
602,,,2021-09-23,https://www.benzinga.com/markets/penny-stocks/21/09/23069891/how-universities-and-colleges-protect-against-cyber-attacks,-0.05415229585341442,-0.9934695959091187,0.05450825679658565,1,0.05450825679658565,,,,,,,,,,,,,,,,,,,,,,,,,0.05450825679658565,,,,,,,,,,,,,,,,,,,,,,,,
597,,,2021-09-24,https://www.benzinga.com/news/21/09/23089643/roku-microsoft-join-other-counterparts-in-office-space-hunt-bloomberg,-0.05318580137156959,-0.9466909766197205,0.0561807418525063,1,0.0561807418525063,,,,,,,,,,,,,,,,,,,,,,,,,0.0561807418525063,,,,,,,,,,,,,,,,,,,,,,,,
603,,,2021-09-24,https://www.benzinga.com/pressreleases/21/09/n23089245/thinking-about-trading-options-or-stock-in-astrazeneca-microsoft-walt-disney-alibaba-or-moderna,-0.03293593152219114,-0.6639921069145203,0.049602896147726616,1,0.049602896147726616,,,,,,,,,,,,,,,,,,,,,,,,,0.049602896147726616,,,,,,,,,,,,,,,,,,,,,,,,
608,,,2021-09-24,http://feeds.benzinga.com/~r/benzinga/media/~3/nZYStwrh9Ag/key-takeaways-from-white-house-chip-crisis-meet,-0.14450005273298236,-0.9141928553581238,0.1580629862572884,1,0.1580629862572884,,,,,,,,,,,,,,,,,,,,,,,,,0.1580629862572884,,,,,,,,,,,,,,,,,,,,,,,,
