pub_date,url,scores,sentiments,relevance,rel_subdocs,sub_1_rel,sub_2_rel,sub_3_rel,sub_4_rel,sub_5_rel,sub_6_rel,sub_1_sents,sub_2_sents,sub_3_sents,sub_4_sents,sub_5_sents,sub_6_sents
2021-06-10,https://www.fool.com/investing/2021/06/10/exxon-to-invest-240-million-to-modernize-112-year/,-0.025504301932709982,-0.8409269452095032,0.030328796190917634,1,0.030328796190917634,,,,,,0.030328796190917634,,,,,
2021-06-10,https://www.zacks.com/stock/news/1685321/exxonmobil-xom-finds-more-oil-in-stabroek-offshore-guyana,0.11415349761252301,0.9999663233757019,0.11415721764965166,2,0.0368623459179821,0.19145208938132122,,,,,0.0368623459179821,0.19145208938132122,,,,
2021-06-11,https://www.zacks.com/stock/news/1691002/exxon-xom-sees-us-shale-oil-production-decline-per-well,0.8133833424472484,0.9999691247940063,0.813408456600903,1,0.813408456600903,,,,,,0.813408456600903,,,,,
2021-06-14,https://www.marketwatch.com/story/shell-mulling-sale-of-holdings-in-largest-u-s-oil-field-reports-11623640137,-0.13412465228958126,-0.6948486566543579,0.19302714483954103,1,0.19302714483954103,,,,,,0.19302714483954103,,,,,
2021-06-14,https://www.fool.com/investing/2021/06/14/shell-looks-to-unload-permian-basin-assets/,-0.052003069731362456,-0.9827951788902283,0.052913435930856206,1,0.052913435930856206,,,,,,0.052913435930856206,,,,,
2021-06-14,https://www.fool.com/investing/2021/06/14/amc-entertainments-moves-make-sense/,-0.13745920892938313,-0.3328125675519307,0.16052663632837352,3,0.41001417212558766,0.03701393601699201,0.034551800842540906,,,,0.41001417212558766,0.03701393601699201,0.034551800842540906,,,
2021-06-15,https://www.zacks.com/stock/news/1713677/markets-sag-again-ahead-of-fed-presser-wednesday,-0.03790219617315711,-0.7267478704452515,0.05215315753169781,1,0.05215315753169781,,,,,,0.05215315753169781,,,,,
2021-06-15,https://www.fool.com/investing/2021/06/15/why-renewable-energy-stocks-dropped-on-tuesday/,0.19283630346510997,0.9998844861984253,0.19285858129300143,1,0.19285858129300143,,,,,,0.19285858129300143,,,,,
2021-06-16,https://www.fool.com/investing/2021/06/16/when-will-amazon-dethrone-walmart-as-revenue-king/,0.6862447170668843,0.9999740123748779,0.6862625514008054,1,0.6862625514008054,,,,,,0.6862625514008054,,,,,
2021-06-18,https://www.zacks.com/stock/news/1727168/exxonmobil-basrah-oil-ink-deal-to-drill-wells-in-west-qurna-1,0.05828035207531039,0.9997385144233704,0.05829559553272323,1,0.05829559553272323,,,,,,0.05829559553272323,,,,,
