pub_date,url,scores,sentiments,relevance,rel_subdocs,sub_1_rel,sub_2_rel,sub_3_rel,sub_4_rel,sub_5_rel,sub_6_rel,sub_7_rel,sub_8_rel,sub_9_rel,sub_10_rel,sub_11_rel,sub_12_rel,sub_13_rel,sub_14_rel,sub_15_rel,sub_16_rel,sub_17_rel,sub_18_rel,sub_19_rel,sub_20_rel,sub_21_rel,sub_22_rel,sub_23_rel,sub_24_rel,sub_1_sents,sub_2_sents,sub_3_sents,sub_4_sents,sub_5_sents,sub_6_sents,sub_7_sents,sub_8_sents,sub_9_sents,sub_10_sents,sub_11_sents,sub_12_sents,sub_13_sents,sub_14_sents,sub_15_sents,sub_16_sents,sub_17_sents,sub_18_sents,sub_19_sents,sub_20_sents,sub_21_sents,sub_22_sents,sub_23_sents,sub_24_sents
5/7/2021,https://www.benzinga.com/trading-ideas/long-ideas/21/05/21018990/nike-and-disney-lead-the-dow-jones-higher-to-close-the-week,-0.031753871,-0.997888982,0.031821046,1,0.031821046,,,,,,,,,,,,,,,,,,,,,,,,0.031821046,,,,,,,,,,,,,,,,,,,,,,,
5/12/2021,http://www.zacks.com/stock/news/1540759/science-applications-saic-secures-dia-contract-worth-%24200m?cid=CS-ZC-FT-analyst_blog|company_news_tech_sector-1540759,0.025661642,0.995845258,0.025768704,1,0.025768704,,,,,,,,,,,,,,,,,,,,,,,,0.025768704,,,,,,,,,,,,,,,,,,,,,,,
5/13/2021,https://www.fool.com/investing/2021/05/13/why-ill-never-sell-my-netflix-stock/?source=iedfolrf0000001,-0.03066371,-0.974507928,0.031465839,1,0.031465839,,,,,,,,,,,,,,,,,,,,,,,,0.031465839,,,,,,,,,,,,,,,,,,,,,,,
5/16/2021,https://www.fool.com/investing/2021/05/16/have-1000-the-tech-sell-off-just-put-this-stock-on/?source=iedfolrf0000001,0.021859227,0.810964763,0.026954595,1,0.026954595,,,,,,,,,,,,,,,,,,,,,,,,0.026954595,,,,,,,,,,,,,,,,,,,,,,,
5/18/2021,https://www.fool.com/investing/2021/05/18/is-datadog-stock-a-buy/?source=iedfolrf0000001,-0.024997606,-0.959544897,0.026051523,1,0.026051523,,,,,,,,,,,,,,,,,,,,,,,,0.026051523,,,,,,,,,,,,,,,,,,,,,,,
5/19/2021,http://www.marketwatch.com/news/story.asp?guid=%7B20C05575-04D4-B545-7414-2800F23B4582%7D&siteid=rss&rss=1,1.29844133,0.671514988,1.933599925,1,1.933599925,,,,,,,,,,,,,,,,,,,,,,,,1.933599925,,,,,,,,,,,,,,,,,,,,,,,
5/19/2021,http://www.zacks.com/stock/news/1576432/ibm-ibm-up-42-since-last-earnings-report-can-it-continue?cid=CS-ZC-FT-realtime_blog-1576432,-0.344456986,-0.597255445,0.391733289,5,0.115832391,0.11463982,1.662484755,0.03168828,0.0340212,,,,,,,,,,,,,,,,,,,,0.115832391,0.11463982,1.662484755,0.03168828,0.0340212,,,,,,,,,,,,,,,,,,,
5/19/2021,https://www.fool.com/investing/2021/05/19/palantir-must-continue-to-perform-to-justify-its-v/?source=iedfolrf0000001,-0.025946414,-0.986101359,0.026311425,2,0.026234677,0.026388172,,,,,,,,,,,,,,,,,,,,,,,0.026234677,0.026388172,,,,,,,,,,,,,,,,,,,,,,
5/20/2021,http://www.zacks.com/research-daily/1581865/top-research-reports-for-novo-nordisk-ibm-deere?cid=CS-ZC-FT-research_daily-1581865,1.864201344,0.992155582,1.88076146,2,1.35493757,2.40658535,,,,,,,,,,,,,,,,,,,,,,,1.35493757,2.40658535,,,,,,,,,,,,,,,,,,,,,,
5/21/2021,http://www.zacks.com/stock/news/1583505/the-zacks-analyst-blog-highlights-novo-nordisk-international-business-machines-deere-bhp-group-and-manulife-financial?cid=CS-ZC-FT-press_releases-1583505,1.187915662,0.873596787,1.359113059,3,0.292869263,1.332626955,2.451842958,,,,,,,,,,,,,,,,,,,,,,0.292869263,1.332626955,2.451842958,,,,,,,,,,,,,,,,,,,,,
