pub_date,relevance,sentiments,scores,Doc_Volume,high,low,open,close,volume
2021-06-07,0.12455652381053504,0.3078598380088806,0.07235561340394604,1,192.5,188.5,191.97999572753903,188.9199981689453,4275800
2021-06-11,0.11337769339941699,-0.9991567134857178,-0.11328208351955285,1,190.9499969482422,186.6699981689453,190.7100067138672,187.69000244140625,3286300
2021-06-17,0.2559712828141593,0.056865404049555465,0.03081121079184689,3,186.67999267578125,183.8300018310547,184.44000244140625,185.55999755859366,3124600
2021-06-21,0.16129766315862507,0.0005764961242675781,0.09209563342881656,1,185.58999633789062,182.6999969482422,185.0399932861328,185.55999755859366,2888200
2021-06-23,0.13575354397832998,-0.4446244090795517,-0.08853462774639316,1,192.30999755859366,188.8500061035156,190.13999938964844,189.1699981689453,3072700
2021-06-25,0.3524993322027584,-0.06547814607620239,-0.1002257285142622,2,203.02999877929688,197.7100067138672,199.0,202.63999938964844,7371700
2021-06-28,0.13840865726644885,-0.9951115846633912,-0.13760584755498154,1,209.1699981689453,202.9499969482422,205.08999633789062,205.17999267578125,6407400
2021-06-29,0.14001755762008986,-0.010959476232528688,0.0682631256945532,1,208.9199981689453,201.3300018310547,203.9499969482422,207.6699981689453,4633800
2021-06-30,0.6648800695695407,-0.9881594032049179,-0.6574162943403011,1,207.3800048828125,203.7400054931641,205.16000366210938,203.8999938964844,3219600
2021-07-06,0.16739499535958724,-0.9989110976457596,-0.16728479759714476,2,191.6999969482422,186.7700042724609,191.5500030517578,186.9499969482422,6488600
2021-07-08,0.1817407396215004,-0.9916775226593018,-0.18013945815754215,3,177.4600067138672,172.77000427246094,176.75999450683594,175.8800048828125,8244100
2021-07-09,0.3157908833165548,-0.998075395822525,-0.3150484281808609,2,181.91000366210938,177.66000366210938,180.10000610351562,181.3600006103516,4651700
2021-07-13,0.3080888414462297,0.011943191289901732,0.23731717998202645,1,187.47999572753903,182.5800018310547,183.02999877929688,184.58999633789062,5075000
2021-07-15,0.08866450539684775,-0.9891365468502044,-0.08787537018378276,2,186.2899932861328,181.7100067138672,182.77999877929688,185.5200042724609,3912200
2021-07-22,0.6697552463332291,0.9978660196065903,0.6684616243589292,1,181.4128,177.2501,181.4128,178.4900,2281279
2021-07-23,0.836710190499675,0.9998584985733032,0.8365917948139876,1,173.5200,167.8400,172.6500,172.6600,7606290
2021-07-26,0.8027267993223864,0.7786449417471886,0.5942392048970221,2,168.3900,162.0500,165.1700,162.3700,10225498
2021-07-27,0.8244731802753852,-0.9995646774768829,-0.824111552426041,2,161.5000,153.1400,155.2542,157.8300,12979017
2021-07-28,0.6571060539933424,0.9836247563362122,0.647691292936349,1,168.1200,161.9300,163.9900,166.7800,7411422
2021-07-29,0.7788882425404724,-0.9992330074310303,-0.778290841046386,1,170.0000,163.5750,169.6847,167.0600,5118323
2021-08-04,1.187845261541688,0.2784443000952403,0.37269134182271196,3,167.4200,163.5800,165.1900,163.8200,3289576
2021-08-09,0.5282905864550194,-0.11300259828567505,-0.05983150143727334,2,167.5600,163.5700,164.7500,166.5300,2663716
2021-08-10,1.0100973223138563,0.9973414606518216,1.0085386950481354,3,169.0000,164.9500,168.5400,165.5500,2194877
2021-08-12,0.9583741492232072,-2.7005672454838425e-05,0.14013002135728486,5,161.0000,156.8000,160.2600,159.6300,6751546
2021-08-13,1.2269649371382623,-0.9998394548892975,-1.226782839314966,2,157.7200,152.1000,157.7200,152.4500,7942526
2021-08-17,0.8495835831319328,-0.17453410559230376,-0.1177116816122979,6,144.1250,140.1100,141.5942,142.3800,7623177
2021-08-19,0.7158579438516905,0.21254470944404602,0.01633702014914551,2,139.6200,135.8900,137.9800,137.3300,8185881
2021-08-20,0.7464590696790135,0.13920376982007707,0.11750784312858674,7,141.8400,136.4300,139.7750,137.6500,7196797
2021-08-23,0.8388444614517253,0.6582693854967753,0.6417849769435576,3,143.3000,137.1700,139.7000,142.7600,6556904
2021-08-24,0.7882725841717421,0.9915739893913269,0.7812195901617637,5,155.8300,149.2717,149.2900,155.0800,10244297
2021-08-25,0.7718966054648362,0.9841368794441223,0.7622439755750984,2,155.3200,150.0900,152.4600,155.1300,4650724
2021-08-26,0.8628144523891309,-0.9999467134475708,-0.862768475981577,1,158.3700,153.7800,154.9900,154.4700,4335301
2021-08-27,0.7629260117020729,0.4962654858827591,0.38326900063275193,2,155.0719,151.8900,153.5500,153.2600,3618786
2021-08-30,0.9989405674159098,0.998907208442688,0.9978489335975812,1,154.6134,150.1600,154.2000,153.1800,5531445
2021-08-31,0.5376385227936379,0.9554005861282349,0.51366015980216,1,157.2500,153.3600,155.5000,157.0200,5831020
2021-09-01,0.8257362005911044,0.0002478659152984619,0.022621684078090454,2,166.4900,158.5800,158.8800,165.1800,9320302
2021-09-02,0.7696130273054208,0.19766105711460114,0.18488366690832087,4,166.3800,161.2400,165.8600,162.3700,6308501
2021-09-03,0.7366616930544222,7.271766662597656e-06,-0.15176907088006214,1,164.6800,161.5100,161.9400,162.9800,3778080
2021-09-07,1.1984870384007003,0.8241629127193899,0.5511555492787099,2,169.8000,165.9500,167.5700,166.6800,6802758
2021-09-09,1.1661605641889627,0.9944591522216797,1.1596990460177117,1,165.2500,158.6700,159.4050,163.6500,3695253
2021-09-10,1.248036934736963,0.8249786671470194,0.5182712966971394,2,168.7400,163.4200,166.5300,164.1000,4197811
2021-09-13,0.8489003669196613,-0.9999537467956543,-0.848861102557521,1,165.1600,161.4400,163.3900,163.2600,3255765
2021-09-14,0.9060526131029341,-0.10120702140471516,-0.1273407397739883,4,163.9500,160.1100,162.4400,160.5200,3630023
2021-09-15,0.8487222953125426,-0.9996362924575806,-0.848413608612318,1,162.4100,157.9910,159.0000,161.7300,4754605
2021-09-16,0.9172021608366858,0.0020768344402313232,0.07154005126493462,2,160.4300,157.6900,158.8300,159.5600,3398597
2021-09-17,0.7198891754981945,-0.33188438415527344,-0.21177019234344607,3,163.7000,160.8000,163.2700,162.2100,4824866
2021-09-20,0.8526253238226407,-0.9999526739120483,-0.8525849724015756,1,158.5900,152.5200,158.1200,154.5000,7940592
2021-09-21,0.95476594152088,0.13015619346073695,0.30328042667802907,1,158.2300,155.5000,156.0000,156.7100,2921239
2021-09-22,0.6681244518052456,0.9883648753166199,0.6617312709789812,2,161.7500,158.1100,158.1100,159.8800,3648401
2021-09-23,2.86403910761792,0.8334688544273376,2.387087394061402,1,162.2800,157.5100,160.9500,160.5000,2951226
2021-09-24,1.0042778437412265,-0.9986975491046906,-1.0033355722375397,2,159.4600,155.9050,158.5500,156.5700,3349241
2021-09-28,0.8175488771113981,0.09525580704212189,0.16183314989249448,1,157.1000,153.1200,155.9900,154.0200,3151695
2021-09-29,0.8101658784242612,-0.9992452263832092,-0.8095833118435765,2,156.1500,151.7500,154.7658,151.9200,2163586
2021-09-30,0.9199037233048872,0.001319199800491333,0.38775613989367536,2,155.0000,151.7500,151.9500,153.7500,2880135
2021-10-04,1.5174036518052474,0.6484941980418037,0.22314962050585802,1,149.0200,144.5100,149.0200,146.3900,4560870
2021-10-06,3.5024793203063007,0.9956798553466797,3.4873481029973146,1,150.1200,145.5800,146.8400,149.3600,2142963
2021-10-07,0.9907447686610208,0.9982611735661825,0.9895800408977696,3,158.3000,153.7000,154.6400,156.5500,3980841
2021-10-08,1.1183385348629689,0.598106784758225,0.4141653582893639,3,162.3000,156.9000,158.0000,162.0900,3664605
2021-10-11,1.0169742183408415,0.24931652968128523,0.2077691426225259,3,166.9200,162.1600,164.9000,162.1600,3652008
2021-10-12,1.2074788888778951,0.020028382539749146,0.10174565667786373,1,164.2321,158.8477,161.4000,159.4700,2415143
2021-10-15,0.7714105789798718,-0.99994957447052,-0.7713716801929802,1,165.8600,162.6600,164.0500,163.6300,2572028
2021-10-18,0.7312019781904096,0.9992439150810242,0.730741494985694,2,171.6484,167.3600,168.1586,171.0400,7192903
2021-10-19,0.6619456206237748,0.005015701055526733,0.07960612014932555,1,179.1100,171.1820,172.2700,179.0000,5743530
2021-10-20,0.5485794233240445,0.997672826051712,0.5472400465645219,1,182.6000,178.7000,179.9000,180.9600,7176082
2021-10-22,0.9118711332729038,-0.1997749772336748,-0.20103870072195093,3,182.5150,176.5100,181.2000,177.6400,3053328
2021-10-25,1.5555274928915441,0.6584030494970434,0.21066896580352826,1,176.5700,173.1100,176.1800,175.4700,3552149
2021-10-27,3.5046661224212814,0.6784599423408508,2.3777755753418757,1,170.7900,166.1300,167.0400,167.7500,2386536
2021-10-29,1.1780349653375557,-0.1755999992875492,-0.3184044462805794,2,167.2000,160.4500,166.7300,162.2400,5114576
2021-11-03,2.1588995236173703,0.5131851456134148,1.016169859295095,3,165.5000,162.6600,163.1500,165.3700,2482714
2021-11-04,1.9850066429484277,-0.9197365939617157,-1.7125598222728449,1,167.7800,162.2800,167.0200,162.5800,3126021
2021-11-09,2.8502863913786096,-0.9995480179786682,-2.84899811317406,1,162.8800,158.5900,160.5200,161.6300,2388751
2021-11-11,1.2786020177823094,-0.90687655210495,-1.0526170307979419,1,168.8000,164.1000,164.8800,167.2600,3121199
2021-11-15,0.6866050173679575,0.9977116485436757,0.6852751836488495,2,171.9900,167.6900,171.4050,168.6700,1940542
2021-11-17,0.7653108290636875,0.32134293563782224,0.2779445994006642,5,173.6000,160.0700,173.3800,161.8200,6474141
2021-11-18,1.1174999691203213,-0.5004668235778809,-0.19617119237659847,2,158.2000,152.4100,155.7800,154.3600,5584166
2021-11-19,0.8156720697154789,0.20066499114036562,0.16179620883312884,2,154.9000,151.0400,154.1100,151.7700,3989447
2021-11-22,0.6835048647243098,-0.9999570846557617,-0.6834755318777517,1,152.4700,146.8900,152.0000,147.8100,4423414
2021-11-24,0.5271649029852021,-0.9998476505279541,-0.5270845896905512,1,151.5800,146.8900,148.9300,151.3900,2663238
2021-11-29,0.7479340209586746,0.500000536441803,0.46942713297816785,4,153.0000,148.8000,153.0000,150.2900,3745624
2021-11-30,0.6477570083037055,0.5739358094605532,0.39871342865805004,11,151.4500,147.0100,149.1200,149.8400,4815568
2021-12-01,1.0400455255643861,0.5720269547568427,0.7389184030198925,9,152.0000,147.5100,150.6600,148.8300,4139282
2021-12-02,0.998907141577442,0.2685073986649513,0.5376911084135356,8,151.5500,145.2000,148.4000,148.9600,4979653
2021-12-03,0.8080926195202683,-0.3856440156266309,-0.3006876625790916,23,143.6000,132.1400,141.8500,137.3900,10411847
