pub_date,url,scores,sentiments,relevance,rel_subdocs,sub_1_rel,sub_2_rel,sub_3_rel,sub_4_rel,sub_5_rel,sub_6_rel,sub_7_rel,sub_8_rel,sub_9_rel,sub_10_rel,sub_11_rel,sub_12_rel,sub_13_rel,sub_14_rel,sub_15_rel,sub_16_rel,sub_17_rel,sub_18_rel,sub_19_rel,sub_20_rel,sub_21_rel,sub_22_rel,sub_23_rel,sub_24_rel,sub_25_rel,sub_26_rel,sub_27_rel,sub_28_rel,sub_1_sents,sub_2_sents,sub_3_sents,sub_4_sents,sub_5_sents,sub_6_sents,sub_7_sents,sub_8_sents,sub_9_sents,sub_10_sents,sub_11_sents,sub_12_sents,sub_13_sents,sub_14_sents,sub_15_sents,sub_16_sents,sub_17_sents,sub_18_sents,sub_19_sents,sub_20_sents,sub_21_sents,sub_22_sents,sub_23_sents,sub_24_sents,sub_25_sents,sub_26_sents,sub_27_sents,sub_28_sents
2021-05-13,https://www.fool.com/investing/2021/05/13/3-nasdaq-100-stocks-61-to-82-upside-wall-street/?source=iedfolrf0000001,-0.2759714083112707,-0.5476087331771851,0.5039572811596797,1,0.5039572811596797,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5039572811596797,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-13,http://www.zacks.com/stock/news/1546757/will-baidus-bidu-q1-earnings-benefit-from-iqiyi-momentum?cid=CS-ZC-FT-analyst_blog|earnings_preview-1546757,0.107794823767296,0.1770780086517334,0.19848301223375597,3,0.2832957446837732,0.24260674046798236,0.06954655154951242,,,,,,,,,,,,,,,,,,,,,,,,,,0.2832957446837732,0.24260674046798236,0.06954655154951242,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-16,https://www.benzinga.com/news/21/05/21143744/george-soros-buys-millions-worth-of-stocks-linked-to-bill-hwangs-archegos-collapse-bloomberg,-0.0770863616435692,-0.9955808520317078,0.07742852977360609,1,0.07742852977360609,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07742852977360609,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-16,https://www.fool.com/investing/2021/05/16/forget-electric-vehicle-stocks-these-tech-stocks-a/?source=iedfolrf0000001,0.291661960129158,0.7503899335861206,0.386167981430843,2,0.44416165906644617,0.3281743037952399,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44416165906644617,0.3281743037952399,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-18,https://www.benzinga.com/news/earnings/21/05/21169626/5-stocks-to-watch-for-may-18-2021,-0.08120618696750682,-0.9994320273399353,0.08125233607296266,1,0.08125233607296266,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08125233607296266,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-18,http://www.marketwatch.com/news/story.asp?guid=%7B20C05575-04D4-B545-742B-1EEC3B3A2F58%7D&siteid=rss&rss=1,-0.064743409529651,-0.9923632144927979,0.06524164598618432,1,0.06524164598618432,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06524164598618432,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-18,https://www.benzinga.com/news/earnings/21/05/21169155/earnings-scheduled-for-may-18-2021,-0.06568183323588374,-0.9944177865982056,0.0660505414535817,1,0.0660505414535817,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0660505414535817,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-18,https://www.fool.com/earnings/call-transcripts/2021/05/18/baidu-inc-bidu-q1-2021-earnings-call-transcript/?source=iedfolrf0000001,0.24166285707110752,0.3391661584377289,0.45999014081633616,20,0.07028999499329071,0.27795192553396286,0.6002465572180208,1.1747410265370566,0.4220515028524574,0.23230870504427464,0.5406685087115601,0.31172233881090056,0.31850700909936824,0.6390887882736865,0.4246376092765577,0.09506470172040303,0.43660759570574365,0.7082315282588272,0.5799713510434485,0.06586262993012235,0.23157656327744344,0.30810734625779457,0.43914636661049095,1.3230207671713141,,,,,,,,,0.07028999499329071,0.27795192553396286,0.6002465572180208,1.1747410265370566,0.4220515028524574,0.23230870504427464,0.5406685087115601,0.31172233881090056,0.31850700909936824,0.6390887882736865,0.4246376092765577,0.09506470172040303,0.43660759570574365,0.7082315282588272,0.5799713510434485,0.06586262993012235,0.23157656327744344,0.30810734625779457,0.43914636661049095,1.3230207671713141,,,,,,,,
2021-05-19,https://www.benzinga.com/news/earnings/21/05/21197303/price-over-earnings-overview-baidu,-0.19241114383777935,-0.9971375465393066,0.19297272546601746,2,0.06831242619095049,0.3176330247410844,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06831242619095049,0.3176330247410844,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-19,https://www.benzinga.com/news/21/05/21197174/what-does-baidus-debt-look-like,-0.049671638562789375,-0.5600325465202332,0.08869419977718172,1,0.08869419977718172,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08869419977718172,,,,,,,,,,,,,,,,,,,,,,,,,,,
