pub_date,url,scores,sentiments,relevance,rel_subdocs,sub_1_rel,sub_2_rel,sub_3_rel,sub_4_rel,sub_5_rel,sub_6_rel,sub_7_rel,sub_8_rel,sub_9_rel,sub_10_rel,sub_11_rel,sub_12_rel,sub_13_rel,sub_14_rel,sub_15_rel,sub_16_rel,sub_17_rel,sub_1_sents,sub_2_sents,sub_3_sents,sub_4_sents,sub_5_sents,sub_6_sents,sub_7_sents,sub_8_sents,sub_9_sents,sub_10_sents,sub_11_sents,sub_12_sents,sub_13_sents,sub_14_sents,sub_15_sents,sub_16_sents,sub_17_sents
2021-04-29,http://www.zacks.com/stock/news/1473514/royal-caribbean-rcl-q1-earnings-beat-estimates-fall-y-y?cid=CS-ZC-FT-analyst_blog|earnings_article-1473514,0.45958760277498856,0.9999560117721558,0.45961012391166745,2,0.6696628585856901,0.2495573892376448,,,,,,,,,,,,,,,,0.6696628585856901,0.2495573892376448,,,,,,,,,,,,,,,
2021-04-29,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3D3892C7CD4%7D&siteid=rss&rss=1,0.39860653665970364,0.9947876930236816,0.399905313083692,3,0.6162622911167183,0.335363740194418,0.24808990793993968,,,,,,,,,,,,,,,0.6162622911167183,0.335363740194418,0.24808990793993968,,,,,,,,,,,,,,
2021-04-30,https://www.fool.com/investing/2021/04/30/cruise-line-stocks-finally-get-what-they-want-and/?source=iedfolrf0000001,1.664167967133396,0.7714686095714569,2.1714085189483248,2,2.2211134295690282,2.121703608327621,,,,,,,,,,,,,,,,2.2211134295690282,2.121703608327621,,,,,,,,,,,,,,,
2021-05-02,https://www.fool.com/earnings/call-transcripts/2021/05/02/royal-caribbean-rcl-q1-2021-earnings-call-transcri/?source=iedfolrf0000001,0.808765708084596,0.9999600052833557,0.8088017902542369,17,0.6442432512359568,0.5020891794224261,1.0945453713219142,0.4994146719545373,0.3223677533879837,0.76393195381891,1.3672461563838652,0.8647417329984595,0.8647417329984595,0.9378264733579394,0.2507461859177584,0.5017905981748845,0.8126079890361173,0.5531946332867484,1.3785058150548095,0.8126079890361173,1.5790289469351417,0.6442432512359568,0.5020891794224261,1.0945453713219142,0.4994146719545373,0.3223677533879837,0.76393195381891,1.3672461563838652,0.8647417329984595,0.8647417329984595,0.9378264733579394,0.2507461859177584,0.5017905981748845,0.8126079890361173,0.5531946332867484,1.3785058150548095,0.8126079890361173,1.5790289469351417
2021-05-03,https://www.fool.com/investing/2021/05/03/what-is-royal-caribbean-going-to-do-with-51-billio/?source=iedfolrf0000001,0.6479761264694659,0.9999496936798096,0.648008319293451,3,0.6153671952328369,0.6646557750406284,0.6640019876068878,,,,,,,,,,,,,,,0.6153671952328369,0.6646557750406284,0.6640019876068878,,,,,,,,,,,,,,
2021-05-04,https://www.benzinga.com/news/earnings/21/05/20940606/tuesdays-market-minute-oil-at-7-week-highs,1.0829240704401446,0.9999698400497437,1.0829567323613225,1,1.0829567323613225,,,,,,,,,,,,,,,,,1.0829567323613225,,,,,,,,,,,,,,,,
2021-05-04,https://www.fool.com/investing/2021/05/04/why-carnival-royal-caribbean-and-norwegian-cruise/?source=iedfolrf0000001,1.2780309848887408,0.8863337635993958,1.3353178492379902,2,2.168558002721098,0.5020776957548824,,,,,,,,,,,,,,,,2.168558002721098,0.5020776957548824,,,,,,,,,,,,,,,
2021-05-06,http://www.zacks.com/stock/news/1510062/norwegian-cruise-nclh-posts-narrower-than-expected-q1-loss?cid=CS-ZC-FT-analyst_blog|earnings_article-1510062,0.5015839011849988,0.998723953962326,0.5022561090680173,2,0.47601903139880697,0.5284931867372277,,,,,,,,,,,,,,,,0.47601903139880697,0.5284931867372277,,,,,,,,,,,,,,,
2021-05-06,https://www.fool.com/investing/2021/05/06/why-norwegian-cruise-line-stock-dropped-after-earn/?source=iedfolrf0000001,-0.4897984563096142,-0.999948263168335,0.48982379824100936,1,0.48982379824100936,,,,,,,,,,,,,,,,,0.48982379824100936,,,,,,,,,,,,,,,,
2021-05-06,https://www.fool.com/investing/2021/05/06/cdc-inches-closer-to-letting-cruise-ships-sail-wit/?source=iedfolrf0000001,0.41095165359839053,0.818522572517395,0.502065144440054,1,0.502065144440054,,,,,,,,,,,,,,,,,0.502065144440054,,,,,,,,,,,,,,,,
