index,index,pub_date,url,scores,sentiments,relevance,rel_subdocs,sub_1_rel,sub_2_rel,sub_3_rel,sub_4_rel,sub_5_rel,sub_6_rel,sub_7_rel,sub_8_rel,sub_9_rel,sub_10_rel,sub_1_sents,sub_2_sents,sub_3_sents,sub_4_sents,sub_5_sents,sub_6_sents,sub_7_sents,sub_8_sents,sub_9_sents,sub_10_sents
37,,2021-12-04,https://drivers.softpedia.com/get/GRAPHICS-BOARD/NVIDIA/ASUS-TUF-Gaming-FA506II-NVIDIA-Graphics-Driver-27-21-14-5167-for-Windows-10-64-bit.shtml,-0.047659864746286,-0.993864377339681,0.04795402607180957,6,0.04501290145089242,0.052701194092616074,0.045049620708724133,0.04781843456813807,0.04501290145089242,0.0521291041595943,,,,,0.04501290145089242,0.052701194092616074,0.045049620708724133,0.04781843456813807,0.04501290145089242,0.0521291041595943,,,,
52,,2021-12-04,https://www.notebookcheck.net/Intel-Alder-Lake-S-Core-i3-12100-4C-8T-beats-reigning-US-120-champion-AMD-Ryzen-3-3300X-with-significantly-higher-performance-and-lower-emissions.582887.0.html,-0.03943651927514962,-0.9697503447532654,0.040666672085776366,1,0.040666672085776366,,,,,,,,,,0.040666672085776366,,,,,,,,,
70,,2021-12-04,https://www.gamesradar.com/bioshocks-time-period-and-setting-may-have-been-leaked/,-0.04176683023269084,-0.9922599196434021,0.04209263057576787,1,0.04209263057576787,,,,,,,,,,0.04209263057576787,,,,,,,,,
72,,2021-12-04,https://askubuntu.com/questions/1379203/ubuntu-ethernet-usb-and-thetering-not-detected,-1.1673662150269808,-0.9846242666244507,1.1855956171271476,1,1.1855956171271476,,,,,,,,,,1.1855956171271476,,,,,,,,,
93,,2021-12-04,https://askubuntu.com/questions/1379132/how-to-detect-the-cause-of-dell-xps-15-9500-with-ubuntu-20-04-3-lts-restarting-r,-0.0053753709012811825,-0.14156758785247803,0.0435409781923399,2,0.04446747958431309,0.04261447680036671,,,,,,,,,0.04446747958431309,0.04261447680036671,,,,,,,,
92,,2021-12-04,https://finance.yahoo.com/news/nvidia-shares-tank-analyst-said-124349676.html,-3.059289911362166,-0.9932172497113546,3.0836442378774116,3,1.873661169798609,2.4238052848498732,4.9534662589837515,,,,,,,,1.873661169798609,2.4238052848498732,4.9534662589837515,,,,,,,
91,,2021-12-04,https://slickdeals.net/f/15476446-cyberpowerpc-w-i5-11600kf-rtx-3060-16gb-ddr4-1tb-nvme-1259-99,-0.042480692146515654,-0.984601616859436,0.04314505625332555,1,0.04314505625332555,,,,,,,,,,0.04314505625332555,,,,,,,,,
90,,2021-12-04,https://slickdeals.net/f/15476455-cyberpowerpc-w-ryzen-5-3600-rtx-3060-16gb-ddr4-500gb-nvme-1189-99?utm_source=rss&utm_content=def&utm_medium=RSS2,-0.04187548020944913,-0.969057559967041,0.04321258296656122,1,0.04321258296656122,,,,,,,,,,0.04321258296656122,,,,,,,,,
89,,2021-12-04,https://askubuntu.com/questions/1379138/nvidia-geforce-gt-710-driver-installation,-0.049896173719818394,-0.9984540740648905,0.049968899798039444,3,0.052351014603717355,0.04482980091384475,0.05272588387655623,,,,,,,,0.052351014603717355,0.04482980091384475,0.05272588387655623,,,,,,,
87,,2021-12-04,https://www.techradar.com/news/nvidia-rtx-2060-12gb-wont-have-founders-edition-sparking-price-concerns,-0.5933098586966423,-0.9951980113983154,0.5982828499329172,2,0.05702115737913132,1.1395445424867032,,,,,,,,,0.05702115737913132,1.1395445424867032,,,,,,,,
86,,2021-12-04,https://www.levelup.com/noticias/652769/Alto-Comision-de-EUA-quiere-bloquear-la-compra-de-Arm-por-parte-de-Nvidia,-0.05308218072577841,-0.9888874292373657,0.05366330695468115,2,0.05759186847638974,0.04973474543297255,,,,,,,,,0.05759186847638974,0.04973474543297255,,,,,,,,
71,,2021-12-04,https://www.androidauthority.com/newsletters/the-weekly-authority-edition-171/,-0.040754710418707374,-0.998474657535553,0.040816970276740555,1,0.040816970276740555,,,,,,,,,,0.040816970276740555,,,,,,,,,
