pub_date,relevance,sentiments,scores,Doc_Volume,high,low,open,close,volume
2021-10-04,0.8997523894509605,0.9724843601385753,0.8565148749980471,4,806.9699,776.1200,796.5000,781.5300,30483341
2021-10-05,0.29060053619283405,0.2305241251985232,-0.03406381683126638,8,797.3100,774.2000,784.7962,780.5900,18432625
2021-10-06,0.43844572052951764,-0.171135775744915,-0.28628839894889746,4,786.6600,773.2200,776.2000,782.7500,14632768
2021-10-07,0.18110204686509382,0.46724691849063943,0.06161995974087161,6,805.0000,783.3800,785.4600,793.6100,19195782
2021-10-08,0.6150167834937429,0.45840295652548474,0.3529671944449969,8,796.3800,780.9100,796.2100,785.4900,16738604
2021-10-11,0.3516033496459829,0.4617549019555251,0.2575370722497823,6,801.2400,785.5000,787.6500,791.9400,14200322
2021-10-12,0.5645214588764194,0.5751005907853445,0.465313872490113,7,812.3200,796.5700,800.9300,805.7200,22020040
2021-10-13,0.1205953787738994,0.5388224422931671,0.02794151952438891,6,815.4100,805.7800,810.4700,811.0800,14120075
2021-10-14,0.194656769115006,0.739724900573492,0.05873736648435277,4,820.2500,813.3501,815.4900,818.3200,12247170
2021-10-15,0.452715299571259,0.378855010425603,0.2717544130870013,9,843.2100,822.3500,823.7384,843.0300,18924567
2021-10-18,0.46870065532544825,0.7759754409392675,0.16992171515365714,5,875.2600,851.4700,851.7900,870.1100,24207244
2021-10-19,0.3306006947160411,0.904972744839532,0.2985467629091076,7,877.9500,862.5100,877.5300,864.2700,17381128
2021-10-20,0.4860339559261154,0.6340734704087178,0.3343128688074033,8,869.4900,857.3800,865.3500,865.8000,14032052
2021-10-21,0.3600481290290807,0.3425068616102903,0.07735325267980472,13,900.0000,855.5046,856.0000,894.0000,31481454
2021-10-22,0.4352611597066784,0.6415361221189851,0.40654864912590544,9,910.0000,890.9600,895.5000,909.6800,22880835
2021-10-25,0.6174509675117394,0.8152932863343846,0.579879244935899,11,1045.0200,944.2000,950.5300,1024.8600,62852099
2021-10-26,0.49390674891661396,0.741213534441259,0.39362799571845114,12,1094.9400,1001.4400,1024.6900,1018.4300,62414968
2021-10-27,0.7709229166066813,0.777895238664415,0.7598015772855599,3,1070.8800,1030.7800,1039.6600,1037.8600,38526459
2021-10-28,0.35427247708159176,0.20747242087409606,0.07115058710136048,7,1081.0000,1054.2000,1068.3050,1077.0400,27213173
2021-10-29,0.16960056647325333,0.5865987847248714,0.14116497945104517,5,1115.2100,1073.2050,1081.8600,1114.0000,29918417
2021-11-01,0.3012965325682849,0.7155447858467436,0.28531819448855317,19,1209.7500,1118.6600,1145.0000,1208.5900,54868952
2021-11-02,0.047827899804609754,-0.03969930112361908,-0.00375156730415686,2,1208.5900,1146.0000,1159.3550,1172.0000,42450935
2021-11-03,0.6767255555317678,0.17470611851248477,-0.10550817062876557,24,1215.3900,1152.6200,1177.3300,1213.8600,34628519
2021-11-04,0.45340489386462257,0.5698592518315171,0.23229016639925862,22,1243.4900,1217.0000,1234.4100,1229.9100,25397410
2021-11-05,0.3655172575615049,0.7946524388260311,0.35066324440426155,15,1239.8700,1208.0000,1228.0000,1222.0900,21628812
2021-11-08,0.44107142916094805,0.41493645471831164,0.2329143011050408,32,1197.0000,1133.0000,1149.7850,1162.9400,33445715
2021-11-09,0.36441735881980014,0.538805194279199,0.1880355933526271,31,1174.5000,1011.5200,1173.6000,1023.5000,58525547
2021-11-10,0.5628012518497599,0.4763482697684356,0.2134317221706922,33,1078.1000,987.3100,1010.4100,1067.9500,42802722
2021-11-11,0.4657795159959766,0.4039285978584578,0.40985188437392484,33,1104.9700,1054.6800,1102.7700,1063.5100,22396568
2021-11-12,0.39714683751990953,0.24707915524641672,-0.03818996621472867,25,1054.5000,1019.2000,1047.5000,1033.4200,25147852
