pub_date,url,scores,sentiments,relevance,rel_subdocs,sub_1_rel,sub_2_rel,sub_3_rel,sub_4_rel,sub_5_rel,sub_6_rel,sub_7_rel,sub_8_rel,sub_9_rel,sub_1_sents,sub_2_sents,sub_3_sents,sub_4_sents,sub_5_sents,sub_6_sents,sub_7_sents,sub_8_sents,sub_9_sents
2021-05-05,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3EC925854F5%7D&siteid=rss&rss=1,-0.04545570787108596,-0.9884575009346008,0.045986507086148806,1,0.045986507086148806,,,,,,,,,0.045986507086148806,,,,,,,,
2021-05-06,http://www.zacks.com/stock/news/1511281/airline-stock-roundup-gol-algt-report-q1-loss-amid-coronavirus-woes?cid=CS-ZC-FT-analyst_blog|stock_roundup-1511281,-1.1860026217232928,-0.9978460073471069,1.1872915635556323,2,1.9162344301827772,0.45834869692848745,,,,,,,,1.9162344301827772,0.45834869692848745,,,,,,,
2021-05-07,http://www.marketwatch.com/news/story.asp?guid=%7BF09B63A1-EA11-47A1-BDEB-F6FE124B29E8%7D&siteid=rss&rss=1,0.04569543439777424,0.9808480739593506,0.0465876781643841,1,0.0465876781643841,,,,,,,,,0.0465876781643841,,,,,,,,
2021-05-09,https://www.fool.com/investing/2021/05/09/american-airlines-courts-danger-with-partnership-s/?source=iedfolrf0000001,-0.5468366058386603,-0.9884232878684998,0.5532413213552407,1,0.5532413213552407,,,,,,,,,0.5532413213552407,,,,,,,,
2021-05-10,http://www.zacks.com/commentary/1529565/3-airline-stocks-to-watch-out-for-despite-industry-headwinds?cid=CS-ZC-FT-industry_outlook-1529565,-0.17779110530872763,-0.3317209283510844,0.5479785934685949,3,0.5543114514865191,0.5539688208729519,0.5356555080463138,,,,,,,0.5543114514865191,0.5539688208729519,0.5356555080463138,,,,,,
2021-05-11,https://www.fool.com/investing/2021/05/11/why-airline-stocks-are-under-pressure-today/?source=iedfolrf0000001,-0.4502855561319476,-0.9965803027153015,0.451830680282453,1,0.451830680282453,,,,,,,,,0.451830680282453,,,,,,,,
2021-05-11,http://www.zacks.com/stock/news/1534572/zacks-industry-outlook-highlights-southwest-airlines-american-airlines-allegiant-travel-co-alaska-air-group-and-delta-air-lines?cid=CS-ZC-FT-press_releases-1534572,-0.5484070132552792,-0.9894999861717224,0.5543538838993072,2,0.5703407008660872,0.5383670669325272,,,,,,,,0.5703407008660872,0.5383670669325272,,,,,,,
2021-05-11,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D40A293822DD%7D&siteid=rss&rss=1,-1.7189271807062136,-0.9971064925193787,1.723915342646118,1,1.723915342646118,,,,,,,,,1.723915342646118,,,,,,,,
2021-05-11,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D40AE85447B3%7D&siteid=rss&rss=1,-1.8867176149840694,-0.9995844960212708,1.887501879524871,1,1.887501879524871,,,,,,,,,1.887501879524871,,,,,,,,
2021-05-13,http://www.marketwatch.com/news/story.asp?guid=%7B20C05575-04D4-B545-7417-0CAA8789F4EA%7D&siteid=rss&rss=1,-0.054780381914967126,-0.9994816184043884,0.05480879378494291,1,0.05480879378494291,,,,,,,,,0.05480879378494291,,,,,,,,
