pub_date,url,scores,sentiments,relevance,rel_subdocs,sub_1_rel,sub_2_rel,sub_3_rel,sub_4_rel,sub_5_rel,sub_6_rel,sub_7_rel,sub_8_rel,sub_9_rel,sub_10_rel,sub_11_rel,sub_12_rel,sub_13_rel,sub_14_rel,sub_15_rel,sub_16_rel,sub_17_rel,sub_18_rel,sub_19_rel,sub_20_rel,sub_21_rel,sub_22_rel,sub_23_rel,sub_24_rel,sub_25_rel,sub_26_rel,sub_27_rel,sub_1_sents,sub_2_sents,sub_3_sents,sub_4_sents,sub_5_sents,sub_6_sents,sub_7_sents,sub_8_sents,sub_9_sents,sub_10_sents,sub_11_sents,sub_12_sents,sub_13_sents,sub_14_sents,sub_15_sents,sub_16_sents,sub_17_sents,sub_18_sents,sub_19_sents,sub_20_sents,sub_21_sents,sub_22_sents,sub_23_sents,sub_24_sents,sub_25_sents,sub_26_sents,sub_27_sents
2021-04-28,http://www.zacks.com/stock/news/1467381/lincoln-electric-leco-q1-earnings-beat-estimates-up-y-y?cid=CS-ZC-FT-analyst_blog|earnings_article-1467381,-0.004102970185347304,-0.05978712439537048,0.07075014033692986,2,0.07060659979643528,0.07089368087742445,,,,,,,,,,,,,,,,,,,,,,,,,,0.07060659979643528,0.07089368087742445,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-28,http://www.zacks.com/stock/news/1466920/why-caterpillar-cat-might-surprise-this-earnings-season?cid=CS-ZC-FT-tale_of_the_tape|earnings_surprise-1466920,0.08107460216291425,0.9768685400485992,0.08272363390415877,2,0.09522928867235313,0.07021797913596439,,,,,,,,,,,,,,,,,,,,,,,,,,0.09522928867235313,0.07021797913596439,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-28,http://www.zacks.com/stock/news/1467400/avery-dennison-avy-q1-earnings-top-estimates-hikes-21-view?cid=CS-ZC-FT-analyst_blog|earnings_article-1467400,-0.011038326066279625,-0.15853244066238403,0.07014517915556576,2,0.07003935673627032,0.0702510015748612,,,,,,,,,,,,,,,,,,,,,,,,,,0.07003935673627032,0.0702510015748612,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-28,http://www.zacks.com/stock/news/1468430/rockwell-automation-rok-beats-on-q2-earnings-hikes-21-view?cid=CS-ZC-FT-analyst_blog|earnings_article-1468430,-0.05020522671095869,-0.5997583866119385,0.08370908657829736,1,0.08370908657829736,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08370908657829736,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29,http://www.zacks.com/stock/news/1473194/caterpillar-cat-q1-earnings-top-estimates-on-improving-demand?cid=CS-ZC-FT-analyst_blog|earnings_article-1473194,-0.23627959828339976,-0.19127466281255087,0.29763948657564815,3,0.09449410899343183,0.7297277450930064,0.06869660564050623,,,,,,,,,,,,,,,,,,,,,,,,,0.09449410899343183,0.7297277450930064,0.06869660564050623,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29,http://www.zacks.com/stock/news/1473273/jobless-claims-553k-q1-gdp-64-great-reopening-moves-forward?cid=CS-ZC-FT-ahead_of_wall_street-1473273,-0.5542713171188495,-0.9864600300788879,0.5677241691026561,2,1.0624765927177067,0.07297174548760554,,,,,,,,,,,,,,,,,,,,,,,,,,1.0624765927177067,0.07297174548760554,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3D1DF6BBAAD%7D&siteid=rss&rss=1,0.06396813461811156,0.9367519617080688,0.068287163766887,1,0.068287163766887,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068287163766887,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3D0A3F741EB%7D&siteid=rss&rss=1,-0.45944011085101644,-0.9968562722206116,0.46030516750900907,2,0.2578202420248703,0.6627900929931478,,,,,,,,,,,,,,,,,,,,,,,,,,0.2578202420248703,0.6627900929931478,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29,https://www.fool.com/investing/2021/04/29/heres-what-mcdonalds-and-caterpillar-just-said-abo/?source=iedfolrf0000001,0.41929984494371036,0.31663886706034344,0.49280302024923284,3,0.06962265464063015,0.6463837448467041,0.7624026612603644,,,,,,,,,,,,,,,,,,,,,,,,,0.06962265464063015,0.6463837448467041,0.7624026612603644,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29,http://www.zacks.com/stock/news/1473280/timken-tkr-q1-earnings-beat-estimates-raises-21-outlook?cid=CS-ZC-FT-analyst_blog|earnings_article-1473280,0.08141522950810252,0.9749319553375244,0.08350862751228245,1,0.08350862751228245,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08350862751228245,,,,,,,,,,,,,,,,,,,,,,,,,,
