pub_date,relevance,sentiments,scores,Doc_Volume,high,low,open,close,volume
6/4/2021,0.277141397,-0.998879254,-0.276830792,1,113.5999985,110.8799973,113.2799988,111.6800003,8008900
6/7/2021,1.190341603,-0.934234023,-1.112057624,1,112.5599976,110.8799973,112,111.2799988,4668638
6/8/2021,0.283814079,-0.826091468,-0.234456389,1,111.9199982,109.7600021,111.7600021,111.1999969,5515250
6/9/2021,0.258887006,-0.863687068,-0.224823285,1,110.4800034,109.3600006,110.1600037,109.8399963,6970963
6/10/2021,1.555360636,0.996795118,1.550375888,1,110.9599991,108.7200012,110.4800034,109.0400009,6229850
6/11/2021,2.501225227,0.998127162,2.496540838,1,110.2399979,108.5599976,109.1999969,109.5199966,5295663
6/14/2021,0.330641258,-0.283625146,0.052570015,3,110.6399994,107.2799988,110.2399979,107.7600021,5678225
6/16/2021,0.621055856,0.966019213,0.607052966,1,109.1999969,106.3199997,108,107.5199966,8766413
6/17/2021,1.525562644,-0.954742253,-1.456519116,1,108.0800018,103.2799988,107.2799988,104,9626675
6/18/2021,0.998953938,-0.508499414,0.050008438,4,104.1600037,102,102.7200012,102.2399979,10258088
6/21/2021,0.607602451,-0.142649934,0.228785356,4,105.5199966,102.8799973,103.1200027,105.5199966,6744263
6/28/2021,0.524611429,-0.225774169,0.197514266,2,105.3600006,102.3199997,105.2799988,103.1200027,7723450
6/29/2021,0.982775383,-0.258042201,0.462815424,4,105.8399963,103.6800003,104.4800034,104.7200012,8649650
7/1/2021,0.214260679,-0.030137986,-0.012652928,1,109.0400009,106.8799973,108.6399994,107.8399963,5836638
7/6/2021,0.274063919,-0.982903779,-0.269378461,1,106.5599976,102.5599976,106.2399979,103.3600006,8829850
7/7/2021,0.48449571,-0.115465692,-0.248915161,1,104.6399994,101.9199982,103.0400009,103.8399963,7632563
7/8/2021,0.395943519,0.116760075,-0.091236382,2,103.5199966,100.8799973,101.8399963,102.9599991,6727850
7/9/2021,0.641113243,-0.000382021,-0.394208202,2,105.5199966,103.5199966,104.0800018,105.2799988,5165288
7/13/2021,0.229206003,0.025565773,-0.001564632,2,104.7200012,103.0400009,104.7200012,103.1200027,4926450
7/15/2021,0.299370404,-0.545053295,-0.08362144,3,103.3600006,100.5599976,101.5199966,102.0800018,6423850
7/19/2021,0.844507724,-0.660898646,-0.765492534,2,97.91999817,94.55999756,97.51999664,96,12362150
7/20/2021,0.308850212,-0.757239838,-0.253214441,3,101.9199982,95.91999817,96.08000183,101.5999985,9390363
7/23/2021,0.529984153,-0.663829131,-0.435579553,3,103.0400009,101.0400009,102.4000015,101.6800003,4722413
7/26/2021,0.62091558,-0.995693363,-0.615906988,2,103.5199966,101.0400009,101.2799988,103.3600006,6728613
7/27/2021,0.518080721,-0.58372324,-0.312703977,11,107.7600021,102.4000015,106.6399994,104.6399994,14930538
7/28/2021,0.772071484,-0.746848136,-0.622168774,3,107.8399963,104.3199997,105.1999969,105.0400009,8571038
7/30/2021,0.41318789,0.010594457,-0.137712095,1,105.7600021,103.3600006,105.2799988,103.5999985,7507838
8/2/2021,0.280225484,-0.991713203,-0.277870372,4,107.2099991,100.4300003,104.4800034,100.5999985,24885500
8/3/2021,1.696493848,0.252862344,0.812836245,3,103.1999969,98.11000061,100.1999969,103.0599976,14440000
8/5/2021,0.20958051,-0.986369252,-0.206723771,1,104.6399994,102.5199966,103,103.0199966,8130800
8/6/2021,0.477593958,0.332955052,0.08718108,1,105.2600021,103.3600006,103.3600006,104.5199966,10984300
8/9/2021,0.292864439,0.809741199,0.237144402,1,104.2699966,102.0299988,103.5599976,103.7099991,7954700
8/10/2021,0.203893656,-0.930472434,-0.189717427,1,106.3300018,103.1999969,103.8099976,106.0800018,8056100
8/12/2021,0.204819522,-0.994232506,-0.203633833,2,107.2300034,105.2399979,106.1900024,106.5199966,6398700
8/13/2021,0.423519096,0.898893446,0.377607438,1,106.6200027,104.5800018,106.5,104.9199982,5617100
8/17/2021,0.289140927,-0.998202324,-0.288621145,1,103.2699966,100.3600006,102.5400009,101.6200027,8177400
8/20/2021,1.04972812,-0.279700379,0.035198399,1,100.6699982,99.09999847,99.58999634,100.0500031,6355700
8/26/2021,0.31853463,-0.574709227,-0.208137043,2,104.6200027,102.8399963,104.4599991,103.3799973,8166500
8/27/2021,1.25425164,-0.253143291,0.192325455,3,106.1500015,103.9000015,103.9000015,106.0899963,7766400
9/1/2021,0.362938534,-0.504309952,-0.22502475,1,105.4700012,103.2600021,105.3600006,103.6600037,7968100
9/3/2021,0.716799012,-0.014478505,-0.428963514,1,107.3600006,104.0800018,106,104.75,7616900
9/7/2021,1.063798795,-0.020965487,0.726375281,1,104.9400024,102.3099976,104.5,103.2900009,10989500
9/8/2021,0.450753929,-0.080966158,0.066784534,2,104.7300034,100.4199982,102.9499969,102.5800018,12001300
9/9/2021,0.194776753,0.998855352,0.194553802,1,104.9199982,102.1100006,102.3600006,103.2900009,9386500
9/13/2021,1.457379541,0.626782884,1.252917764,2,104.8600006,102.0199966,102.6500015,104.4599991,12484200
9/14/2021,0.987421349,0.977665703,0.937549315,1,104.5500031,100.0699997,104.5400009,100.3799973,16022600
